node_1|node_2|edge|chunk_id
coronavirus|kündigung|Die Kenntnis einer Infektion mit dem Coronavirus und die Nichtbeachtung der entsprechenden Schutzmaßnahmen kann zur Kündigung des Arbeitsverhältnisses führen.|509000cfdce640dcad4cdb2de65865a3
arbeitgeber|schutzmaßnahmen|Der Arbeitgeber ist dazu verpflichtet, im Betrieb Schutzmaßnahmen zu ergreifen.|509000cfdce640dcad4cdb2de65865a3
politische agitation|betriebsfrieden|Wiederholte politische Agitation des Arbeitnehmers im Betrieb, die den Betriebsfrieden ernstlich und schwer gefährdet, kann die ordentliche Kündigung und unter Umständen die außerordentliche Kündigung rechtfertigen.|509000cfdce640dcad4cdb2de65865a3
telefongespräche|arbeitszeit|Ein Arbeitnehmer muss während der Arbeitszeit seine privaten Telefongespräche auf Weisung des Arbeitgebers unterbrechen.|509000cfdce640dcad4cdb2de65865a3
unberechtigte rabattzusagen|abmahnung|Macht ein Automobilverkäufer ohne die Absicht, sich unrechtmäßige Vermögensvorteile zu verschaffen, an Kunden Rabattzusagen, die sich im Rahmen des Üblichen bewegen, aber vom Vorgesetzten nicht entsprechend den betriebsinternen Richtlinien vorab genehmigt worden sind, rechtfertigt dies ohne einschlägige Abmahnung keine ordentliche verhaltensbedingte Kündigung.|509000cfdce640dcad4cdb2de65865a3
sexuelle belästigung|abmahnung|Eine sexuelle Belästigung am Arbeitsplatz kann auch ohne vorherige Abmahnung eine Kündigung, u. U. auch eine außerordentliche Kündigung rechtfertigen.|509000cfdce640dcad4cdb2de65865a3
betriebsablaufstörungen|unentschuldigtes fehlen|Wiederholtes unentschuldigtes Fehlen eines Arbeitnehmers ist an sich geeignet, eine verhaltensbedingte Kündigung zu rechtfertigen.|509000cfdce640dcad4cdb2de65865a3
rücksprache|abmahnung|Die grundlose Weigerung eines Arbeitnehmers, zu einer vom Arbeitgeber angeordneten Rücksprache zu erscheinen, kann zu einer verhaltensbedingten Kündigung nach vorangegangener Abmahnung berechtigen.|509000cfdce640dcad4cdb2de65865a3
rauchverbot am arbeitsplatz|kündigung|Verstöße gegen das berechtigte Rauchverbot berechtigen nach Ausspruch der Abmahnung zur Kündigung.|509000cfdce640dcad4cdb2de65865a3
lebensmittel-betrieb|rauchen|Lebensmittel-Betrieb und Rauchen sind in einer Beziehung, wobei das Rauchen in einem Lebensmittel-Betrieb zu besonderen Konsequenzen führt.|436bdd478b20446da8e9fa21476b0413
vollmachtsüberschreitung|vertrauensmissbrauch|Vollmachtsüberschreitung und Vertrauensmissbrauch können in schweren Fällen ohne Abmahnung zur ordentlichen Kündigung führen. In manchen Fällen kann auch eine außerordentliche Kündigung gerechtfertigt sein. Bei persönlichem Vorteil durch Vollmachtsüberschreitung oder Vertrauensmissbrauch kann eine außerordentliche Kündigung gerechtfertigt sein.|436bdd478b20446da8e9fa21476b0413
einsehen von geheimdokumenten|unbefugtes einsehen von vor unberechtigtem zugriff geschützten computerdateien|Das unbefugte Einsehen von Geheimdokumenten oder von vor unberechtigtem Zugriff geschützten Computerdateien kann nach vorheriger Abmahnung einen verhaltensbedingten Kündigungsgrund darstellen.|436bdd478b20446da8e9fa21476b0413
überstundenverweigerung|arbeitgeber|Wenn der Arbeitgeber berechtigte Überstunden anordnet und der Arbeitnehmer ohne rechtfertigenden Grund die Leistung verweigert, liegt ein verhaltensbedingter Kündigungsgrund vor.|436bdd478b20446da8e9fa21476b0413
arbeitnehmer|zeugenaussage gegen den arbeitgeber|Ein Arbeitnehmer, der als Zeuge in einem staatsanwaltlichen Ermittlungsverfahren gegen seinen Arbeitgeber aussagt und dabei keine wissentlich unwahren oder leichtfertig falschen Angaben macht, kann deshalb nicht gekündigt werden. Gleiches gilt bei einer Zeugenaussage in einem Arbeitsgerichtsprozess.|436bdd478b20446da8e9fa21476b0413
verhaltensbedingte kündigung|kschg|Für die ordentliche verhaltensbedingte Kündigung ist § 1 Abs. 2 KSchG die einschlägige Norm.|d96ea5218a2d417eab5e922d8b7ddca4
verhaltensbedingte kündigung|außerordentliche fristlose kündigung|Die Übersicht ist nicht nur für die ordentliche verhaltensbedingte Kündigung relevant, sondern auch für die außerordentliche fristlose Kündigung.|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|verhaltensbedingte vorwerfbare fehlverhalten|Abgrenzung zwischen einem verhaltensbedingten vorwerfbaren Fehlverhalten beim Alkoholgenuss und dem krankhaften Alkoholismus|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|alkoholerkrankung|Eine verhaltensbedingte Kündigung kommt in Betracht, wenn die Pflichtverletzung zwar auf der Alkoholabhängigkeit beruht, dem Arbeitnehmer aber der Vorwurf zu machen ist, er habe seine Alkoholabhängigkeit schuldhaft herbeigeführt|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|alkoholkrank|In der Regel wird der Arbeitnehmer (vor einer Kündigung) bestreiten, alkoholkrank zu sein. Dann kann der Arbeitgeber mangels anderer Kenntnis davon ausgehen, dass der Arbeitnehmer nicht alkoholkrank ist.|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|betriebsrat|Will sich der Arbeitgeber auf eine krankheitsbedingte Kündigung stützen, muss der Betriebsrat nach § 102 BetrVG ordnungsgemäß auch zur Kündigung wegen Alkoholerkrankung angehört werden|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|kündigung wegen alkoholmissbrauch|Wird das Alkoholverbot mit dem Betriebsrat in einer (schriftlichen) Betriebsvereinbarung geregelt, gilt dieses gem. § 77 Abs. 4 Satz 1 BetrVG als Gesetz des Betriebs unmittelbar und zwingend für die Arbeitnehmer.|d96ea5218a2d417eab5e922d8b7ddca4
alkohol|alkoholtest|Für den Beweis von Alkoholgenuss und den Alkoholisierungsgrad kann sich der Arbeitgeber deshalb auch eines Zeugen bedienen.|d96ea5218a2d417eab5e922d8b7ddca4
anzeigen gegen den arbeitgeber|arbeitnehmer|Anzeigen des Arbeitnehmers bei staatlichen Ermittlungsbehörden gegen einen gesetzeswidrig handelnden Arbeitgeber konnten nach Auffassung des Bundesarbeitsgerichts dann einen verhaltensbedingten Kündigungsgrund darstellen, wenn der Arbeitnehmer nicht zuvor versucht hatte, den Arbeitgeber von seiner gesetzwidrigen Handlungsweise durch entsprechende Hinweise und Vorhalte abzubringen.|d96ea5218a2d417eab5e922d8b7ddca4
arbeitsverweigerung|abmahnung|Die Weigerung eines Arbeitnehmers, die vertraglich geschuldete Leistung (Hauptleistungspflicht) zu erbringen, ist nach vorangegangener Abmahnung grundsätzlich geeignet, eine verhaltensbedingte Kündigung zu begründen.|d96ea5218a2d417eab5e922d8b7ddca4
außerdienstliches verhalten|betriebliche sphäre|Das außerdienstliche Verhalten eines Arbeitnehmers kann eine Kündigung im Regelfall nicht begründen, da die betriebliche Sphäre und das private Leben des Arbeitnehmers grundsätzlich streng voneinander zu trennen sind.|d96ea5218a2d417eab5e922d8b7ddca4
verhaltensbedingte kündigung|abmahnungserfordernis|An example of a behavioral reason for termination without the necessity of prior warning.|e679fac6ca584d42bea8a59697a302ee
leiterin eines katholischen kindergartens|geschiedenen mann heiratet|An example of a case where behavioral grounds for termination (without the need for prior warning) exist.|e679fac6ca584d42bea8a59697a302ee
ehebruch|verhaltensbedingte kündigung|Ehebruch is an example of behavior that can lead to termination without prior warning.|e679fac6ca584d42bea8a59697a302ee
werbung für eine andere glaubensgemeinschaft|verhaltensbedingte kündigung|An example of behavior that can lead to termination without prior warning.|e679fac6ca584d42bea8a59697a302ee
rechtsprechung des bag|rechtsprechung des eugh|The jurisprudence of the BAG is partly contrary to the jurisprudence of the EuGH.|e679fac6ca584d42bea8a59697a302ee
kündigung des arbeitsverhältnisses|wiederverheiratung nach ehescheidung|According to the EuGH, the termination of the employment relationship due to remarriage after divorce of a chief physician of a Catholic hospital is probably not justified.|e679fac6ca584d42bea8a59697a302ee
beleidigungen gegenüber dem arbeitgeber|ordentliche kündigung|Insults to the employer generally entitle to ordinary termination even without prior warning.|e679fac6ca584d42bea8a59697a302ee
grobe beleidigungen|außerordentliche kündigung|Serious insults can also justify extraordinary (immediate) termination.|e679fac6ca584d42bea8a59697a302ee
ehrverletzende äußerungen|beleidigung|In certain cases, offensive statements can be considered less serious and not sufficient for termination if provoked by the employer's unjustified criticism.|e679fac6ca584d42bea8a59697a302ee
betriebsfrieden|ordentliche kündigung|Disturbance of the peace at work can justify ordinary termination, in exceptional cases even extraordinary termination.|e679fac6ca584d42bea8a59697a302ee
betriebsfrieden|vermittlungspflicht|In case of a conflict between two employees endangering orderly business operations, the employer has a duty to mediate.|e679fac6ca584d42bea8a59697a302ee
betriebsfrieden|betreitliches alkohol- oder rauchverbot|Violations of company rules, such as alcohol or smoking bans, may lead to ordinary termination after prior warning.|e679fac6ca584d42bea8a59697a302ee
internet- und e-mail-nutzung zu privaten zwecken|ordentliche kündigung|Private use of the internet and e-mail at the workplace can lead to ordinary termination under certain circumstances.|e679fac6ca584d42bea8a59697a302ee
konkurrenztätigkeit|kündigung|Prohibition of competitive activity during employment can justify ordinary or extraordinary termination if violated by the employee.|e679fac6ca584d42bea8a59697a302ee
leistungsmängel|kündigung|Failure to provide the agreed work performance can lead to termination after prior warning.|e679fac6ca584d42bea8a59697a302ee
lohnpfändungen|kündigung|Frequent wage garnishments over a longer period of time may, in exceptional cases, justify termination of the employment relationship.|e679fac6ca584d42bea8a59697a302ee
lohnpfändung|verletzung von arbeitsvertraglichen pflichten|Lohnpfändungen nicht die Verletzung von arbeitsvertraglichen Pflichten ist|f5fe95d4018541c49975093af95b677d
lohnpfändung|privatsphäre des arbeitnehmers|die Lohnpfändung vielmehr aus der Privatsphäre des Arbeitnehmers herrühren|f5fe95d4018541c49975093af95b677d
abmahnung|kündigung|kann nach der Rechtsprechung des BAG eine Abmahnung vor der Kündigung nicht erwartet werden|f5fe95d4018541c49975093af95b677d
änderungskündigung|beendigungskündigung|vor einer Beendigungskündigung eine Änderungskündigung auszusprechen|f5fe95d4018541c49975093af95b677d
änderungskündigung|kostenerstattungsregelung|Ziel der Änderungskündigung ist es, im Arbeitsvertrag eine Kostenerstattungsregelung aufzunehmen|f5fe95d4018541c49975093af95b677d
änderungskündigung|ultima-ratio-prinzip|Dies entspricht dem im Kündigungsrecht maßgeblichen ultima-ratio-Prinzip|f5fe95d4018541c49975093af95b677d
kostenerstattungsanspruch|arbeitnehmer|Der Arbeitgeber hat keinen gesetzlichen Kostenerstattungsanspruch gegen den Arbeitnehmer|f5fe95d4018541c49975093af95b677d
betriebsvereinbarung|kostenerstattungsanspruch|Ein solcher kann auch nicht durch den Abschluss einer (freiwilligen) Betriebsvereinbarung mit dem Betriebsrat begründet werden|f5fe95d4018541c49975093af95b677d
nebentätigkeit|hauptarbeitsverhältnis|grundsätzlich berechtigt, neben seinem Hauptarbeitsverhältnis einer Nebenbeschäftigung bei einem anderen Arbeitgeber nachzugehen oder eine selbstständige Nebentätigkeit aufzunehmen|f5fe95d4018541c49975093af95b677d
arbeitszeitgesetz|nebentätigkeit|bei der Nebenbeschäftigung die gesetzlichen Grenzen des Arbeitszeitgesetzes zu beachten|f5fe95d4018541c49975093af95b677d
genehmigungs- oder zustimmungsvorbehalt|arbeitgeber|Die Arbeitsvertragsparteien können vereinbaren, dass der Arbeitnehmer eine Nebentätigkeit nur mit Zustimmung des Arbeitgebers aufnehmen darf (Genehmigungs- oder Zustimmungsvorbehalt)|f5fe95d4018541c49975093af95b677d
arbeitgeber|zustimmung|Der Arbeitgeber darf die Zustimmung unter Berücksichtigung des Rechtsgedankens des Art. 12 GG (Freiheit der Berufswahl) nur in solchen Fällen verweigern, in denen er an der Unterlassung der Nebentätigkeit ein berechtigtes Interesse hat|f5fe95d4018541c49975093af95b677d
konkurrenztätigkeit|nebenpflichtverletzung|Allein die Nebentätigkeit für ein Konkurrenzunternehmen muss noch keine Nebenpflichtverletzung sein, wenn die Tätigkeit für den Konkurrenten eine untergeordnete Hilfstätigkeit ist|f5fe95d4018541c49975093af95b677d
formulararbeitsvertrag|nebentätigkeiten|Arbeitsvertragsklausel in einem Formulararbeitsvertrag, die dem Arbeitnehmer generell die Ausübung von Nebentätigkeiten verbietet, ist zu weitgehend und benachteiligt den Arbeitnehmer entgegen Treu und Glauben unangemessen (§ 307 Abs. 1 Satz 1 BGB)|f5fe95d4018541c49975093af95b677d
arbeitsunfähigkeit|anzeigepflicht|Bei Erkrankungen sind Arbeitnehmer nach § 5 EFZG verpflichtet, dem Arbeitgeber die Arbeitsunfähigkeit und deren voraussichtliche Dauer unverzüglich, d. h. ohne schuldhaftes Zögern, mitzuteilen (Anzeigepflicht)|f5fe95d4018541c49975093af95b677d
arbeitsunfähigkeit|ärztliche bescheinigung|Dauert die Arbeitsunfähigkeit länger als 3 Kalendertage, muss der Arbeitnehmer zudem eine ärztliche Bescheinigung über das Bestehen der Arbeitsunfähigkeit sowie deren voraussichtliche Dauer vorlegen (Nachweispflicht)|f5fe95d4018541c49975093af95b677d
anzeigepflicht|abmahnung|Verstößt der Arbeitnehmer wiederholt trotz Abmahnung schuldhaft gegen die Anzeigepflicht, so rechtfertigt dies in der Regel den Ausspruch einer auf verhaltensbedingte Gründe gestützten ordentlichen Kündigung|f5fe95d4018541c49975093af95b677d
betriebsrat|betriebsratsanhörung|Vorsorglich doppelte Betriebsratsanhörung, Falls Bedenken bestehen, ob dieser Nachweis in vollem Umfang möglich ist, sollte zumindest der Betriebsrat vorsorglich auch zur ordentlichen Kündigung angehört und die Kündigung hilfsweise als ordentliche ausgesprochen werden|f5fe95d4018541c49975093af95b677d
außerordentlichen kündigung|verhaltensbedingte kündigung|Die außerordentliche Kündigung ist ein möglicher Kündigungsgrund, der im Zusammenhang mit der verhaltensbedingten Kündigung steht.|6c93cb6ccefe47329d5db4bf4d441168
corona-pandemie|pflichtverletzungen|Die Pflichtverletzungen stehen im Zusammenhang mit den Verhaltensregeln aufgrund der Corona-Pandemie.|6c93cb6ccefe47329d5db4bf4d441168
arbeitnehmer|quarantäne|Ein Arbeitnehmer kann von der zuständigen Behörde unter Quarantäne gestellt werden.|6c93cb6ccefe47329d5db4bf4d441168
arbeitnehmer|coronavirus infiziert|Ein Arbeitnehmer kann trotz Kenntnis seiner Infektion mit dem Coronavirus in den Betrieb gehen, was die Kündigung des Arbeitsverhältnisses, ggf. sogar eine außerordentliche Kündigung, zur Folge haben kann.|6c93cb6ccefe47329d5db4bf4d441168
arbeitnehmer|angst vor ansteckung|Ein Arbeitnehmer kann sich aus Angst vor einer Ansteckung mit dem Coronavirus weigern, die Arbeit aufzunehmen, was unter bestimmten Voraussetzungen abgemahnt werden kann und im Wiederholungsfall zur Kündigung führen kann.|6c93cb6ccefe47329d5db4bf4d441168
arbeitnehmer|schutzmaßnahmen|Weigert sich der Arbeitgeber, im Betrieb Schutzmaßnahmen zu ergreifen und besteht dadurch ein erhöhtes Infektionsrisiko, darf der Arbeitnehmer die Arbeit verweigern.|6c93cb6ccefe47329d5db4bf4d441168
politische agitation|betriebsfrieden|Wiederholte politische Agitation des Arbeitnehmers im Betrieb, die den Betriebsfrieden ernstlich und schwer gefährdet, kann zur ordentlichen und unter Umständen außerordentlichen Kündigung führen.|6c93cb6ccefe47329d5db4bf4d441168
telefongespräche|arbeitszeit|Ein Arbeitnehmer muss während der Arbeitszeit auf Weisung des Arbeitgebers jedes auch privat geführte Telefongespräch unterbrechen.|6c93cb6ccefe47329d5db4bf4d441168
telefongespräche|private telefongespräche|Private Telefongespräche während der Arbeitszeit können zu einer ordentlichen Kündigung führen, insbesondere wenn der Arbeitnehmer nach vergeblichen vorherigen Abmahnungen weiterhin private Telefongespräche führt.|6c93cb6ccefe47329d5db4bf4d441168
rabattzusagen|unberechtigte rabattzusagen|Unberechtigte Rabattzusagen können ohne einschlägige Abmahnung zu einer ordentlichen verhaltensbedingten Kündigung führen.|6c93cb6ccefe47329d5db4bf4d441168
schmiergelder|schmiergeldern|Die Entgegennahme von Schmiergeldern stellt in der Regel eine schwerwiegende Pflichtwidrigkeit dar, die eine außerordentliche oder ordentliche Kündigung rechtfertigen kann.|6c93cb6ccefe47329d5db4bf4d441168
sexuelle äußerungen|sexuelle belästigung|Herabsetzende sexuelle Äußerungen eines Vorgesetzten gegenüber Arbeitnehmerinnen sind geeignet, die Ehre der Arbeitnehmerinnen zu beeinträchtigen und stellen eine sexuelle Belästigung im Sinne des Gesetzes dar.|6c93cb6ccefe47329d5db4bf4d441168
sicherheitsbedenken|gefährdung|Im Kündigungsschutzprozess müssen konkrete Tatsachen vorgetragen werden können, die auf eine Gefährdung hinweisen. Die Vermutung des Arbeitgebers, der Arbeitnehmer stelle ein Sicherheitsrisiko dar, reicht nicht.|6c93cb6ccefe47329d5db4bf4d441168
arbeitsaufnahme|fehlen|Das unentschuldigte Fehlen oder das vorzeitige Verlassen der Arbeit seitens des Arbeitnehmers rechtfertigt in der Regel eine ordentliche Kündigung.|6c93cb6ccefe47329d5db4bf4d441168
unerlaubte einsicht|personalakten|Die Einsichtnahme durch arbeitsvertraglich nicht befugte Mitarbeiter in die Personalakten und/oder die Gehaltsunterlagen ihrer Arbeitskollegen im Betrieb kann eine ordentliche verhaltensbedingte Kündigung rechtfertigen.|6c93cb6ccefe47329d5db4bf4d441168
verschwiegenheitspflicht|geschäfts- oder betriebsgeheimnisse|Zu den vertraglichen Nebenpflichten eines Arbeitnehmers gehört auch die Verschwiegenheitspflicht, die es dem Arbeitnehmer untersagt, Geschäfts- oder Betriebsgeheimnisse unbefugt an Dritte weiterzugeben oder zu verwerten.|6c93cb6ccefe47329d5db4bf4d441168
vermögensdelikt|betriebsfrieden|Bei einem Vermögensdelikt des Arbeitnehmers zum Nachteil des Arbeitgebers kann eine ordentliche oder außerordentliche Kündigung gerechtfertigt sein.|6c93cb6ccefe47329d5db4bf4d441168
rücksprache|arbeitgeber|Die grundlose Weigerung eines Arbeitnehmers, zu einer vom Arbeitgeber angeordneten Rücksprache zu erscheinen, kann zu einer verhaltensbedingten Kündigung nach vorangegangener Abmahnung berechtigen.|6c93cb6ccefe47329d5db4bf4d441168
rauchverbot|arbeitsplatz|Verstöße gegen das berechtigt verhängte Rauchverbot berechtigen nach Ausspruch der Abmahnung zur Kündigung.|6c93cb6ccefe47329d5db4bf4d441168
kündigung|lebensmittel-betrieb|Die Kündigung ist gerechtfertigt, wenn in einem Lebensmittel-Betrieb geraucht wird.|5afc31c16f1d432584613d12c3753ed2
kündigung|vollmachtsüberschreitung|Vollmachtsüberschreitung berechtigt in schweren Fällen zur ordentlichen Kündigung und je nach den Umständen auch zur außerordentlichen Kündigung.|5afc31c16f1d432584613d12c3753ed2
kündigung|vertrauensmissbrauch|Vertrauensmissbrauch berechtigt in schweren Fällen zur ordentlichen Kündigung und je nach den Umständen auch zur außerordentlichen Kündigung.|5afc31c16f1d432584613d12c3753ed2
kündigung|einsehen von geheimdokumenten|Das unbefugte Einsehen von Geheimdokumenten kann nach vorheriger Abmahnung einen verhaltensbedingten Kündigungsgrund darstellen.|5afc31c16f1d432584613d12c3753ed2
kündigung|überstundenverweigerung|Verweigert der Arbeitnehmer ohne rechtfertigenden Grund die Leistung von Überstunden, liegt ein verhaltensbedingter Kündigungsgrund vor.|5afc31c16f1d432584613d12c3753ed2
kündigung|zeugenaussage gegen den arbeitgeber|Eine Zeugenaussage in einem staatsanwaltlichen Ermittlungsverfahren oder in einem Arbeitsgerichtsprozess beeinflusst die Möglichkeit einer Kündigung.|5afc31c16f1d432584613d12c3753ed2
verhaltensbedingte kündigung|voraussetzungen|Der Beitrag legt die allgemeinen Voraussetzungen einer verhaltensbedingten Kündigung dar.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|interessenabwägung|Hinweise für die Interessenabwägung werden gegeben, die in jedem Fall vor Ausspruch der Kündigung durchzuführen sind.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|abmahnung|verhaltensbedingte Gründe rechtfertigen die Kündigung des Arbeitsverhältnisses nach vorangegangener Abmahnung.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|pflichtwidrigkeiten|Pflichtwidrigkeiten im Leistungsbereich rechtfertigen die Kündigung des Arbeitsverhältnisses.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|verstöße gegen die betriebliche ordnung|Verstöße gegen die betriebliche Ordnung rechtfertigen die Kündigung des Arbeitsverhältnisses.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|störungen im vertrauensbereich|Störungen im Vertrauensbereich rechtfertigen die Kündigung des Arbeitsverhältnisses.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|verletzung von arbeitsvertraglichen nebenpflichten|Verletzung von arbeitsvertraglichen Nebenpflichten rechtfertigen die Kündigung des Arbeitsverhältnisses.|a14147a72b6041a18360b31184b7ccbb
verhaltensbedingte kündigung|außerdienstliches verhalten|außerdienstliches Verhalten, das das Arbeitsverhältnis konkret beeinträchtigt, rechtfertigt die Kündigung.|a14147a72b6041a18360b31184b7ccbb
interessenabwägung|ultima-ratio-prinzip|Aufgrund des ultima-ratio-Prinzips ist eine Interessenabwägung vorzunehmen.|a14147a72b6041a18360b31184b7ccbb
interessenabwägung|betriebliches interesse|Eine Interessenabwägung zwischen dem betrieblichen Interesse an der Beendigung des Arbeitsverhältnisses und dem privaten Interesse des Arbeitnehmers ist vorzunehmen.|a14147a72b6041a18360b31184b7ccbb
interessenabwägung|privates interesse|Eine Interessenabwägung zwischen dem betrieblichen Interesse an der Beendigung des Arbeitsverhältnisses und dem privaten Interesse des Arbeitnehmers ist vorzunehmen.|a14147a72b6041a18360b31184b7ccbb
